IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba
2675071_1,2023-02-26 19:15:00,Hapoel Jerusalem,Hapoel Haifa,"D/A&P1,5",2.3835,0.6499999999999999,0.4195510803440319,0.20947136563876645
2648408_1,2023-02-25 21:00:00,Mirandes,Leganes,H,3.066,0.55,0.3261578604044358,0.20753424657534253
2673354_1,2023-02-25 19:00:00,Saint-Etienne,Pau,"D/A&P1,5",3.024,0.55,0.3306878306878307,0.20277777777777783
2634362_1,2023-02-25 18:30:00,Bournemouth,Manchester City,"H/D&M4,5",3.4859999999999998,0.5,0.2868617326448652,0.19879518072289154
2672338_1,2023-02-25 21:00:00,NEC Nijmegen,FC Volendam,"D/A&M2,5",3.4125,0.5,0.29304029304029305,0.1923076923076923
2649158_1,2023-02-25 14:00:00,Reggina,Modena,"H/A&P2,5",2.289,0.6499999999999999,0.436871996505024,0.1912844036697247
2649207_1,2023-02-27 18:30:00,Hellas Verone,Fiorentina,H,3.3810000000000002,0.5,0.2957704821058858,0.1894409937888199
2648418_1,2023-02-26 21:00:00,Real Oviedo,Albacete,"H/A&M1,5",2.8875,0.55,0.3463203463203463,0.1863636363636364
2675125_1,2023-02-27 19:00:00,Hapoel Be'er,Maccabi Raina,"D/A&M4,5",3.3390000000000004,0.5,0.2994908655286013,0.18553459119496857
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,"H/D&P1,5",2.2365,0.65,0.447127207690588,0.18051643192488265
2659752_1,2023-02-26 17:30:00,Bayern Munich,Union Berlin,D/A,3.2760000000000002,0.5,0.3052503052503052,0.17948717948717952
2671884_1,2023-02-25 16:30:00,FC Groningen,Excelsior,"H/A&P3,5",3.2760000000000002,0.5,0.3052503052503052,0.17948717948717952
2662576_1,2023-02-25 18:00:00,Pas Giannina,PAOK Salonika,H/D,2.4885,0.6,0.40184850311432585,0.17805907172995783
2649157_1,2023-02-25 16:15:00,Genes,SPAL,"D/A&M3,5",2.457,0.6,0.407000407000407,0.1726495726495726
2672338_1,2023-02-25 21:00:00,NEC Nijmegen,FC Volendam,"D/A&M3,5",2.7825,0.55,0.35938903863432164,0.17264150943396228
