IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD
2662584_1,2023-02-26 18:30:00,Aris Thessaloniki,Atromitos,"H/A&M4,5",1.3335000000000001,0.8,0.7499062617172852,0.050093738282714795,2023-02-26
2668315_1,2023-02-26 16:30:00,Rio Ave,GD Chaves,H/A,1.3335000000000001,0.8,0.7499062617172852,0.050093738282714795,2023-02-26
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,"H/A&P3,5",5.25,0.6,0.19047619047619047,0.4095238095238095,2023-02-26
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/D&M2,5",2.6774999999999998,0.6666666666666666,0.3734827264239029,0.29318394024276373,2023-02-26
2649192_1,2023-02-26 12:30:00,Bologna,Inter Milan,"H/D&P1,5",2.8560000000000003,0.6,0.35014005602240894,0.24985994397759104,2023-02-26
2675071_1,2023-02-26 19:15:00,Hapoel Jerusalem,Hapoel Haifa,"D/A&P1,5",2.3835,0.6499999999999999,0.4195510803440319,0.23044891965596803,2023-02-26
2648418_1,2023-02-26 21:00:00,Real Oviedo,Albacete,"H/A&M1,5",2.8875,0.55,0.3463203463203463,0.20367965367965374,2023-02-26
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,"H/D&P1,5",2.2365,0.65,0.447127207690588,0.20287279230941202,2023-02-26
2659752_1,2023-02-26 17:30:00,Bayern Munich,Union Berlin,D/A,3.2760000000000002,0.5,0.3052503052503052,0.19474969474969478,2023-02-26
2673743_1,2023-02-26 14:15:00,FC Luzern,Grasshoppers,"D/A&P1,5",2.1734999999999998,0.65,0.4600874166091558,0.18991258339084421,2023-02-26
2649192_1,2023-02-26 12:30:00,Bologna,Inter Milan,H/D,2.121,0.6499999999999999,0.47147571900047147,0.17852428099952844,2023-02-26
2648415_1,2023-02-26 16:15:00,Levante,Lugo,"H/D&M1,5",3.024,0.5,0.3306878306878307,0.1693121693121693,2023-02-26
