Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2023-08-20,Rodez Aveyron,2 - 2,Annecy,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-08-06,Rodez Aveyron,0 - 3,Bordeaux,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-11,Rodez Aveyron,1 - 1,Nimes,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-03,Rodez Aveyron,1 - 2,Sochaux,1,2,3,Away,0,0,1,1,0,1,1,0
2023-01-28,Rodez Aveyron,0 - 1,Guingamp,0,1,1,Away,0,0,1,1,0,1,0,1
2023-01-10,Rodez Aveyron,1 - 1,Niort,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-12-30,Rodez Aveyron,2 - 1,Dijon FCO,2,1,3,Home,0,1,0,0,1,1,1,0
2022-11-05,Rodez Aveyron,0 - 1,Grenoble,0,1,1,Away,0,0,1,1,0,1,0,1
2022-10-15,Rodez Aveyron,1 - 1,Le Havre AC,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-01,Rodez Aveyron,0 - 1,SC Amiens,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-10,Rodez Aveyron,1 - 1,Valenciennes,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-11,RB Leipzig,1 - 2,1. FC Union Berlin,1,2,3,Away,0,0,1,1,0,1,1,0
2023-01-27,RB Leipzig,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-20,RB Leipzig,1 - 1,Bayern Munich,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-09,RB Leipzig,3 - 1,SC Freiburg,3,1,4,Home,0,1,0,0,1,1,1,0
2022-10-29,RB Leipzig,2 - 0,Bayer Leverkusen,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-15,RB Leipzig,3 - 2,Hertha Berlin,3,2,5,Home,0,1,0,0,1,1,1,0
2022-10-01,RB Leipzig,4 - 0,VfL Bochum,4,0,4,Home,0,1,0,0,1,1,0,1
2022-09-10,RB Leipzig,3 - 0,Borussia Dortmund,3,0,3,Home,0,1,0,0,1,1,0,1
2022-08-27,RB Leipzig,2 - 0,VfL Wolfsburg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-08-13,RB Leipzig,2 - 2,FC Cologne,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-08-20,Pau,0 - 3,Sochaux,0,3,3,Away,0,0,1,1,0,1,0,1
2023-08-06,Pau,0 - 0,Dijon FCO,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-02-18,Pau,0 - 1,Stade Laval,0,1,1,Away,0,0,1,1,0,1,0,1
2023-02-03,Pau,0 - 2,Bordeaux,0,2,2,Away,0,0,1,1,0,1,0,1
2023-01-28,Pau,2 - 2,Annecy,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-01-10,Pau,0 - 0,Grenoble,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-12-26,Pau,0 - 1,Paris FC,0,1,1,Away,0,0,1,1,0,1,0,1
2022-11-05,Pau,2 - 1,SC Amiens,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-22,Pau,1 - 0,Nimes,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-08,Pau,2 - 2,Rodez Aveyron,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-09-17,Pau,1 - 0,Valenciennes,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-05,Pau,2 - 2,Saint-Etienne,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-08-28,Paris Saint-Germain ,1 - 1,AS Monaco,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-08-13,Paris Saint-Germain ,5 - 2,Montpellier,5,2,7,Home,0,1,0,0,1,1,1,0
2023-02-19,Paris Saint-Germain ,4 - 3,Lille,4,3,7,Home,0,1,0,0,1,1,1,0
2023-02-04,Paris Saint-Germain ,2 - 1,Toulouse,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-29,Paris Saint-Germain ,1 - 1,Stade de Reims,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-11,Paris Saint-Germain ,2 - 0,Angers,2,0,2,Home,0,1,0,0,1,1,0,1
2022-12-28,Paris Saint-Germain ,2 - 1,Strasbourg,2,1,3,Home,0,1,0,0,1,1,1,0
2022-11-13,Paris Saint-Germain ,5 - 0,AJ Auxerre,5,0,5,Home,0,1,0,0,1,1,0,1
2022-10-29,Paris Saint-Germain ,4 - 3,Troyes,4,3,7,Home,0,1,0,0,1,1,1,0
2022-10-16,Paris Saint-Germain ,1 - 0,Marseille,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-01,Paris Saint-Germain ,2 - 1,Nice,2,1,3,Home,0,1,0,0,1,1,1,0
2022-09-10,Paris Saint-Germain ,1 - 0,Brest,1,0,1,Home,0,1,0,0,1,1,0,1
2023-08-27,Paris FC,1 - 1,Caen,1,1,2,Draw,1,0,0,1,1,0,1,0
