Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs,DALDEMs,DHLDEMs,HALDEMs,DALDEMPs,DHLDEMPs,HALDEMPs,DateSort
2023-02-21,Swansea City,1 - 3,Stoke City,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-21
2023-02-21,Blackburn Rovers,1 - 0,Blackpool,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-21
2023-02-21,Millwall,1 - 1,Burnley,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-21
2023-02-21,Norwich City,3 - 1,Birmingham City,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-21
2023-02-21,Rotherham United,2 - 1,Sunderland,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-21
2023-02-21,Millwall,1 - 1,Burnley,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-21
2023-02-21,Norwich City,3 - 1,Birmingham City,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-21
2023-02-21,Rotherham United,2 - 1,Sunderland,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-21
2023-02-21,Swansea City,1 - 3,Stoke City,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-21
2023-02-20,Watford,3 - 2,West Bromwich Albion,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-20
2023-02-20,Watford,3 - 2,West Bromwich Albion,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-20
2023-02-19,Manchester United,3 - 0,Leicester City,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-19
2023-02-19,Tottenham Hotspur,2 - 0,West Ham United,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-19
2023-02-19,Manchester United,3 - 0,Leicester City,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-19
2023-02-19,Tottenham Hotspur,2 - 0,West Ham United,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-19
2023-02-18,Rotherham United,0 - 2,Coventry City,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Huddersfield Town,2 - 1,Birmingham City,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Aston Villa,2 - 4,Arsenal,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-18
2023-02-18,Brentford,1 - 1,Crystal Palace,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Luton Town,0 - 1,Burnley,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Aston Villa,2 - 4,Arsenal,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-18
2023-02-18,Rotherham United,0 - 2,Coventry City,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Wolverhampton Wanderers,0 - 1,AFC Bournemouth,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Huddersfield Town,2 - 1,Birmingham City,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Nottingham Forest,1 - 1,Manchester City,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Blackburn Rovers,1 - 0,Swansea City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Brentford,1 - 1,Crystal Palace,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Blackpool,1 - 0,Stoke City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Brighton & Hove Albion,0 - 1,Fulham,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Blackpool,1 - 0,Stoke City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Nottingham Forest,1 - 1,Manchester City,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Sunderland,1 - 1,Bristol City,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Middlesbrough,3 - 1,Queens Park Rangers,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Luton Town,0 - 1,Burnley,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Middlesbrough,3 - 1,Queens Park Rangers,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Wolverhampton Wanderers,0 - 1,AFC Bournemouth,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Everton,1 - 0,Leeds United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Chelsea,0 - 1,Southampton,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Blackburn Rovers,1 - 0,Swansea City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Wigan Athletic,0 - 0,Norwich City,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-18
2023-02-18,Hull City,0 - 0,Preston North End,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-18
2023-02-18,Chelsea,0 - 1,Southampton,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Newcastle United,0 - 2,Liverpool,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Everton,1 - 0,Leeds United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Millwall,3 - 2,Sheffield United,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Wigan Athletic,0 - 0,Norwich City,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-18
2023-02-18,Brighton & Hove Albion,0 - 1,Fulham,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Sunderland,1 - 1,Bristol City,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Millwall,3 - 2,Sheffield United,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Hull City,0 - 0,Preston North End,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-18
2023-02-18,Newcastle United,0 - 2,Liverpool,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-17,Cardiff City,1 - 0,Reading,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-17
2023-02-17,Cardiff City,1 - 0,Reading,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-17
2023-02-15,Sheffield United,1 - 3,Middlesbrough,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-15
2023-02-15,Preston North End,1 - 1,Luton Town,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-15
2023-02-15,West Bromwich Albion,1 - 1,Blackburn Rovers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-15
2023-02-15,Bristol City,1 - 1,Wigan Athletic,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-15
2023-02-15,Stoke City,3 - 0,Huddersfield Town,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-15
2023-02-15,Arsenal,1 - 3,Manchester City,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-15
2023-02-15,Sheffield United,1 - 3,Middlesbrough,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-15
2023-02-15,Preston North End,1 - 1,Luton Town,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-15
2023-02-15,Stoke City,3 - 0,Huddersfield Town,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-15
2023-02-15,Arsenal,1 - 3,Manchester City,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-15
2023-02-15,West Bromwich Albion,1 - 1,Blackburn Rovers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-15
2023-02-15,Swansea City,2 - 1,Blackpool,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-15
2023-02-15,Bristol City,1 - 1,Wigan Athletic,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-15
2023-02-15,Swansea City,2 - 1,Blackpool,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-15
2023-02-14,Coventry City,1 - 0,Millwall,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-14
2023-02-14,Burnley,1 - 1,Watford,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-14
2023-02-14,Birmingham City,0 - 2,Cardiff City,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-14
2023-02-14,Queens Park Rangers,0 - 3,Sunderland,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-14
2023-02-14,Reading,2 - 1,Rotherham United,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-14
2023-02-14,Coventry City,1 - 0,Millwall,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-14
2023-02-14,Reading,2 - 1,Rotherham United,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-14
2023-02-14,Queens Park Rangers,0 - 3,Sunderland,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-14
2023-02-14,Norwich City,3 - 1,Hull City,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-14
2023-02-14,Burnley,1 - 1,Watford,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-14
2023-02-14,Birmingham City,0 - 2,Cardiff City,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-14
2023-02-14,Norwich City,3 - 1,Hull City,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-14
2023-02-13,Liverpool,2 - 0,Everton,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-13
2023-02-13,Liverpool,2 - 0,Everton,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-13
2023-02-12,Leeds United,0 - 2,Manchester United,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-12
2023-02-12,Manchester City,3 - 1,Aston Villa,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-12
2023-02-12,Manchester City,3 - 1,Aston Villa,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-12
2023-02-12,Leeds United,0 - 2,Manchester United,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-12
2023-02-11,Sheffield United,3 - 0,Swansea City,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,AFC Bournemouth,1 - 1,Newcastle United,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,West Ham United,1 - 1,Chelsea,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Bristol City,1 - 0,Norwich City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Southampton,1 - 2,Wolverhampton Wanderers,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-11
2023-02-11,Fulham,2 - 0,Nottingham Forest,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Watford,1 - 1,Blackburn Rovers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Sheffield United,3 - 0,Swansea City,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Bristol City,1 - 0,Norwich City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Queens Park Rangers,1 - 2,Millwall,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-11
2023-02-11,Wigan Athletic,1 - 0,Huddersfield Town,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Watford,1 - 1,Blackburn Rovers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Burnley,3 - 0,Preston North End,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Crystal Palace,1 - 1,Brighton & Hove Albion,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Queens Park Rangers,1 - 2,Millwall,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-11
2023-02-11,West Ham United,1 - 1,Chelsea,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Burnley,3 - 0,Preston North End,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Sunderland,1 - 0,Reading,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Crystal Palace,1 - 1,Brighton & Hove Albion,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Coventry City,1 - 1,Luton Town,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Stoke City,0 - 0,Hull City,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-11
2023-02-11,Coventry City,1 - 1,Luton Town,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Cardiff City,1 - 3,Middlesbrough,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-11
2023-02-11,Arsenal,1 - 1,Brentford,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,AFC Bournemouth,1 - 1,Newcastle United,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Blackpool,0 - 0,Rotherham United,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-11
2023-02-11,Fulham,2 - 0,Nottingham Forest,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Southampton,1 - 2,Wolverhampton Wanderers,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-11
2023-02-11,Leicester City,4 - 1,Tottenham Hotspur,4,1,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-11
2023-02-11,Leicester City,4 - 1,Tottenham Hotspur,4,1,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-11
2023-02-11,Arsenal,1 - 1,Brentford,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-11
2023-02-11,Wigan Athletic,1 - 0,Huddersfield Town,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Blackpool,0 - 0,Rotherham United,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-11
2023-02-11,Cardiff City,1 - 3,Middlesbrough,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-11
2023-02-11,Sunderland,1 - 0,Reading,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-11
2023-02-11,Stoke City,0 - 0,Hull City,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-11
2023-02-10,Birmingham City,2 - 0,West Bromwich Albion,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-10
2023-02-10,Birmingham City,2 - 0,West Bromwich Albion,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-10
2023-02-08,Manchester United,2 - 2,Leeds United,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-08
2023-02-08,Manchester United,2 - 2,Leeds United,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-08
2023-02-07,Blackpool,2 - 2,Huddersfield Town,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-07
2023-02-07,Blackpool,2 - 2,Huddersfield Town,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-07
2023-02-06,Blackburn Rovers,0 - 0,Wigan Athletic,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-06
2023-02-06,Blackburn Rovers,0 - 0,Wigan Athletic,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-06
2023-02-05,Nottingham Forest,1 - 0,Leeds United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-05
2023-02-05,Tottenham Hotspur,1 - 0,Manchester City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-05
2023-02-05,Tottenham Hotspur,1 - 0,Manchester City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-05
2023-02-05,Nottingham Forest,1 - 0,Leeds United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-05
2023-02-04,Preston North End,1 - 2,Bristol City,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-04
2023-02-04,Reading,2 - 2,Watford,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-04
2023-02-04,Brighton & Hove Albion,1 - 0,AFC Bournemouth,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Brighton & Hove Albion,1 - 0,AFC Bournemouth,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Rotherham United,0 - 0,Sheffield United,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-04
2023-02-04,Preston North End,1 - 2,Bristol City,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-04
2023-02-04,Luton Town,1 - 0,Stoke City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Middlesbrough,3 - 0,Blackpool,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Millwall,1 - 1,Sunderland,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-04
2023-02-04,Norwich City,0 - 3,Burnley,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-04
2023-02-04,Swansea City,3 - 4,Birmingham City,3,4,7,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-04
2023-02-04,Millwall,1 - 1,Sunderland,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-04
2023-02-04,Reading,2 - 2,Watford,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-04
2023-02-04,Hull City,1 - 0,Cardiff City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Norwich City,0 - 3,Burnley,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-04
2023-02-04,Brentford,3 - 0,Southampton,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Brentford,3 - 0,Southampton,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Everton,1 - 0,Arsenal,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
2023-02-04,Swansea City,3 - 4,Birmingham City,3,4,7,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-04
2023-02-04,Manchester United,2 - 1,Crystal Palace,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-04
2023-02-04,Aston Villa,2 - 4,Leicester City,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-04
2023-02-04,Everton,1 - 0,Arsenal,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-04
