Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2022-11-12,Schalke 04,0 - 2,Bayern Munich,0,2,2,Away,0,0,1,1,0,1,0,1
2022-11-12,Schalke 04,0 - 2,Bayern Munich,0,2,2,Away,0,0,1,1,0,1,0,1
2022-11-09,Schalke 04,1 - 0,Mainz,1,0,1,Home,0,1,0,0,1,1,0,1
2022-11-09,Schalke 04,1 - 0,Mainz,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-30,Schalke 04,0 - 2,SC Freiburg,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-30,Schalke 04,0 - 2,SC Freiburg,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-14,Schalke 04,0 - 3,TSG Hoffenheim,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-14,Schalke 04,0 - 3,TSG Hoffenheim,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-02,Schalke 04,2 - 3,FC Augsburg,2,3,5,Away,0,0,1,1,0,1,1,0
2022-10-02,Schalke 04,2 - 3,FC Augsburg,2,3,5,Away,0,0,1,1,0,1,1,0
2022-09-10,Schalke 04,3 - 1,VfL Bochum,3,1,4,Home,0,1,0,0,1,1,1,0
2022-09-10,Schalke 04,3 - 1,VfL Bochum,3,1,4,Home,0,1,0,0,1,1,1,0
2022-08-27,Schalke 04,1 - 6,1. FC Union Berlin,1,6,7,Away,0,0,1,1,0,1,1,0
2022-08-27,Schalke 04,1 - 6,1. FC Union Berlin,1,6,7,Away,0,0,1,1,0,1,1,0
2022-08-13,Schalke 04,2 - 2,Borussia Monchengladbach,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-13,Schalke 04,2 - 2,Borussia Monchengladbach,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-07-16,SV Sandhausen,2 - 1,Arminia Bielefeld,2,1,3,Home,0,1,0,0,1,1,1,0
2023-07-16,SV Sandhausen,2 - 1,Arminia Bielefeld,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-19,SV Sandhausen,0 - 3,Karlsruher SC,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-19,SV Sandhausen,0 - 3,Karlsruher SC,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-03,SV Sandhausen,0 - 4,SV Darmstadt 98,0,4,4,Away,0,0,1,1,0,1,0,1
2023-02-03,SV Sandhausen,0 - 4,SV Darmstadt 98,0,4,4,Away,0,0,1,1,0,1,0,1
2022-11-09,SV Sandhausen,3 - 4,1. FC Heidenheim,3,4,7,Away,0,0,1,1,0,1,1,0
2022-11-09,SV Sandhausen,3 - 4,1. FC Heidenheim,3,4,7,Away,0,0,1,1,0,1,1,0
2022-10-30,SV Sandhausen,2 - 2,TSV Eintracht Braunschweig,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-30,SV Sandhausen,2 - 2,TSV Eintracht Braunschweig,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-09,SV Sandhausen,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-09,SV Sandhausen,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-16,SV Sandhausen,2 - 3,Hannover 96,2,3,5,Away,0,0,1,1,0,1,1,0
2022-09-16,SV Sandhausen,2 - 3,Hannover 96,2,3,5,Away,0,0,1,1,0,1,1,0
2022-09-04,SV Sandhausen,0 - 0,Kaiserslautern,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-04,SV Sandhausen,0 - 0,Kaiserslautern,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-20,SV Sandhausen,1 - 2,Nurnberg,1,2,3,Away,0,0,1,1,0,1,1,0
2022-08-20,SV Sandhausen,1 - 2,Nurnberg,1,2,3,Away,0,0,1,1,0,1,1,0
2022-08-05,SV Sandhausen,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-05,SV Sandhausen,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2023-07-22,SV Darmstadt 98,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2023-07-22,SV Darmstadt 98,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-25,SV Darmstadt 98,1 - 1,Hamburg SV,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-25,SV Darmstadt 98,1 - 1,Hamburg SV,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-12,SV Darmstadt 98,2 - 1,TSV Eintracht Braunschweig,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-12,SV Darmstadt 98,2 - 1,TSV Eintracht Braunschweig,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-28,SV Darmstadt 98,2 - 0,SSV Jahn Regensburg,2,0,2,Home,0,1,0,0,1,1,0,1
2023-01-28,SV Darmstadt 98,2 - 0,SSV Jahn Regensburg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-11-13,SV Darmstadt 98,1 - 1,SpVgg Greuther Furth,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-13,SV Darmstadt 98,1 - 1,SpVgg Greuther Furth,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-04,SV Darmstadt 98,1 - 0,Hannover 96,1,0,1,Home,0,1,0,0,1,1,0,1
2022-11-04,SV Darmstadt 98,1 - 0,Hannover 96,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-21,SV Darmstadt 98,1 - 1,Holstein Kiel,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-21,SV Darmstadt 98,1 - 1,Holstein Kiel,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-08,SV Darmstadt 98,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-08,SV Darmstadt 98,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-17,SV Darmstadt 98,2 - 0,Nurnberg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-17,SV Darmstadt 98,2 - 0,Nurnberg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-04,SV Darmstadt 98,1 - 1,Arminia Bielefeld,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-04,SV Darmstadt 98,1 - 1,Arminia Bielefeld,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-08-27,SV Darmstadt 98,2 - 2,1. FC Heidenheim,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-27,SV Darmstadt 98,2 - 2,1. FC Heidenheim,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-13,SV Darmstadt 98,4 - 0,Hansa Rostock,4,0,4,Home,0,1,0,0,1,1,0,1
2022-08-13,SV Darmstadt 98,4 - 0,Hansa Rostock,4,0,4,Home,0,1,0,0,1,1,0,1
2023-07-16,SSV Jahn Regensburg,2 - 0,SV Darmstadt 98,2,0,2,Home,0,1,0,0,1,1,0,1
2023-07-16,SSV Jahn Regensburg,2 - 0,SV Darmstadt 98,2,0,2,Home,0,1,0,0,1,1,0,1
2023-02-18,SSV Jahn Regensburg,1 - 1,Hannover 96,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-18,SSV Jahn Regensburg,1 - 1,Hannover 96,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-04,SSV Jahn Regensburg,1 - 3,Arminia Bielefeld,1,3,4,Away,0,0,1,1,0,1,1,0
2023-02-04,SSV Jahn Regensburg,1 - 3,Arminia Bielefeld,1,3,4,Away,0,0,1,1,0,1,1,0
2022-11-09,SSV Jahn Regensburg,1 - 1,TSV Eintracht Braunschweig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-09,SSV Jahn Regensburg,1 - 1,TSV Eintracht Braunschweig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-29,SSV Jahn Regensburg,0 - 3,Hansa Rostock,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-29,SSV Jahn Regensburg,0 - 3,Hansa Rostock,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-22,SSV Jahn Regensburg,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-22,SSV Jahn Regensburg,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-07,SSV Jahn Regensburg,2 - 2,SpVgg Greuther Furth,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-07,SSV Jahn Regensburg,2 - 2,SpVgg Greuther Furth,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-09-18,SSV Jahn Regensburg,2 - 0,St. Pauli,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-18,SSV Jahn Regensburg,2 - 0,St. Pauli,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-03,SSV Jahn Regensburg,0 - 0,Holstein Kiel,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-03,SSV Jahn Regensburg,0 - 0,Holstein Kiel,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-20,SSV Jahn Regensburg,0 - 6,Karlsruher SC,0,6,6,Away,0,0,1,1,0,1,0,1
2022-08-20,SSV Jahn Regensburg,0 - 6,Karlsruher SC,0,6,6,Away,0,0,1,1,0,1,0,1
2022-08-06,SSV Jahn Regensburg,0 - 0,Nurnberg,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-06,SSV Jahn Regensburg,0 - 0,Nurnberg,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-07-17,SC Paderborn 07,5 - 0,Karlsruher SC,5,0,5,Home,0,1,0,0,1,1,0,1
2023-07-17,SC Paderborn 07,5 - 0,Karlsruher SC,5,0,5,Home,0,1,0,0,1,1,0,1
2023-02-17,SC Paderborn 07,1 - 0,Kaiserslautern,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-17,SC Paderborn 07,1 - 0,Kaiserslautern,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-03,SC Paderborn 07,4 - 1,Fortuna Düsseldorf,4,1,5,Home,0,1,0,0,1,1,1,0
2023-02-03,SC Paderborn 07,4 - 1,Fortuna Düsseldorf,4,1,5,Home,0,1,0,0,1,1,1,0
2022-11-08,SC Paderborn 07,0 - 2,Arminia Bielefeld,0,2,2,Away,0,0,1,1,0,1,0,1
2022-11-08,SC Paderborn 07,0 - 2,Arminia Bielefeld,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-30,SC Paderborn 07,2 - 3,Hamburg SV,2,3,5,Away,0,0,1,1,0,1,1,0
2022-10-30,SC Paderborn 07,2 - 3,Hamburg SV,2,3,5,Away,0,0,1,1,0,1,1,0
2022-10-16,SC Paderborn 07,3 - 0,SV Sandhausen,3,0,3,Home,0,1,0,0,1,1,0,1
2022-10-16,SC Paderborn 07,3 - 0,SV Sandhausen,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-30,SC Paderborn 07,1 - 2,SV Darmstadt 98,1,2,3,Away,0,0,1,1,0,1,1,0
2022-09-30,SC Paderborn 07,1 - 2,SV Darmstadt 98,1,2,3,Away,0,0,1,1,0,1,1,0
2022-09-10,SC Paderborn 07,3 - 0,SSV Jahn Regensburg,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-10,SC Paderborn 07,3 - 0,SSV Jahn Regensburg,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-03,SC Paderborn 07,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-03,SC Paderborn 07,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-20,SC Paderborn 07,7 - 2,Holstein Kiel,7,2,9,Home,0,1,0,0,1,1,1,0
2022-08-20,SC Paderborn 07,7 - 2,Holstein Kiel,7,2,9,Home,0,1,0,0,1,1,1,0
2022-08-06,SC Paderborn 07,4 - 2,Hannover 96,4,2,6,Home,0,1,0,0,1,1,1,0
2022-08-06,SC Paderborn 07,4 - 2,Hannover 96,4,2,6,Home,0,1,0,0,1,1,1,0
2023-02-11,SC Freiburg,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-11,SC Freiburg,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-28,SC Freiburg,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-28,SC Freiburg,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-25,SC Freiburg,1 - 1,Eintracht Frankfurt,1,1,2,Draw,1,0,0,1,1,0,1,0
